"architectureType","loadIntensity","mix","avg","microservice"
"cqrs","250","0.0213197008425637","0.522414742451154","Admin_addIntersection"
"cqrs","250","0.0492663069203825","0.781552267486549","Admin_addStreet"
"cqrs","250","0.111900028401022","0.764633671742809","Admin_getIntersection"
"cqrs","250","0.0693363627757266","1.19466903331513","Admin_getStreet"
"cqrs","250","0.104875508851652","1.55300234699404","Admin_getStreets"
"cqrs","250","0.0346681813878633","1.12944620425997","Admin_setStreetInterrupted"
"cqrs","300","0.0247661486337188","1.29431524163569","Admin_addIntersection"
"cqrs","300","0.0516314355159461","1.65161733238231","Admin_addStreet"
"cqrs","300","0.112653752669957","1.51276413860739","Admin_getIntersection"
"cqrs","300","0.0681667525963026","2.01633144246353","Admin_getStreet"
"cqrs","300","0.104496575090226","2.49978026431718","Admin_getStreets"
"cqrs","300","0.0340833762981513","1.9024943273906","Admin_setStreetInterrupted"
"cqrs","350","0.0289904212935492","2.80373684210526","Admin_addIntersection"
"cqrs","350","0.051284224802916","2.47641123966942","Admin_addStreet"
"cqrs","350","0.109553276256675","2.16618105849582","Admin_getIntersection"
"cqrs","350","0.0663558531830126","2.57399156872764","Admin_getStreet"
"cqrs","350","0.100839196405866","3.26683120376597","Admin_getStreets"
"cqrs","350","0.0327032296346529","2.41232607568688","Admin_setStreetInterrupted"
"cqrs","350","0.0335848096973807","2.93299798081777","Admin_setStreetWeight"
"cqrs","350","0.098736967025515","0.749112637362637","EndUser_getStreetProperties"
"mono","200","0.0176841038039346","0.299146637265711","Admin_addIntersection"
"mono","200","0.0477880247226501","0.386199918400653","Admin_addStreet"
"mono","200","0.112168301195188","0.358878150530158","Admin_getIntersection"
"mono","200","0.0686307005400768","0.904833806818182","Admin_getStreet"
"mono","200","0.106338591120903","1.49484323432343","Admin_getStreets"
"mono","200","0.0987151241006844","0.739972940944104","EndUser_getStreetProperties"
"mono","200","0.0494453001618281","0.273078864353312","EndUser_shortestPath"
"mono","250","0.021198871917173","0.719577678571429","Admin_addIntersection"
"mono","250","0.0491738118221566","0.974314857582756","Admin_addStreet"
"mono","250","0.111899759619935","0.938616204330176","Admin_getIntersection"
"mono","250","0.0693505952718945","1.56306522925764","Admin_getStreet"
"mono","250","0.104934415990006","2.12184072871573","Admin_getStreets"
"mono","250","0.0346752976359472","1.23870687772926","Admin_setStreetInterrupted"
"mono","250","0.0980258550527133","1.24556265688357","EndUser_getStreetProperties"
"mono","250","0.362917116196317","1.26653817669761","EndUser_nearestIntersection"
"mono","250","0.0492116669505801","0.710399615384615","EndUser_shortestPath"
"mono","250","0.0639373119073307","1.98259147424512","EndUser_topCriticalNodes"
"mono","300","0.0246547597127601","1.17168782673637","Admin_addIntersection"
"mono","300","0.0515558828944946","1.48708285714286","Admin_addStreet"
"mono","300","0.11268642975511","1.42109689542484","Admin_getIntersection"
"mono","300","0.0682010679432885","2.01601241900648","Admin_getStreet"
"mono","300","0.104584791014546","2.62567077464789","Admin_getStreets"
"mono","300","0.0341005339716443","1.7043277537797","Admin_setStreetInterrupted"
"mono","300","0.0974774443012337","1.63031866263695","EndUser_getStreetProperties"
"mono","300","0.360246731725281","1.70350431893688","EndUser_nearestIntersection"
"mono","300","0.0488123734118947","1.13690682761222","EndUser_shortestPath"
"mono","300","0.0635794512981035","2.5376136692731","EndUser_topCriticalNodes"
"mono","350","0.0281215855558939","1.59432675159236","Admin_addIntersection"
"mono","350","0.0532339823389278","2.12986372812921","Admin_addStreet"
"mono","350","0.112593813251178","1.98198186446071","Admin_getIntersection"
"mono","350","0.0683515735549625","2.65863390985325","Admin_getStreet"
"mono","350","0.103315481201526","3.20137101248266","Admin_getStreets"
"mono","350","0.0341757867774812","2.30620283018868","Admin_setStreetInterrupted"
"mono","350","0.0341757867774812","2.86233071278826","Admin_setStreetWeight"
"mono","350","0.0966164538143259","2.18109510567297","EndUser_getStreetProperties"
"mono","350","0.357609844346128","2.25715727523166","EndUser_nearestIntersection"
"mono","350","0.0486127281520357","1.68495836403832","EndUser_shortestPath"
"mono","350","0.0631929642300596","3.06548837868481","EndUser_topCriticalNodes"
"role","150","0.11224818046564","0.235171054988358","Admin_getIntersection"
"role","150","0.0685190397683863","0.664569835680751","Admin_getStreet"
"role","200","0.0176868625806829","0.479621830209482","Admin_addIntersection"
"role","200","0.047990483804918","0.724632263307599","Admin_addStreet"
"role","200","0.112380803806478","0.723360229047371","Admin_getIntersection"
"role","200","0.0682513991536827","1.28178685714286","Admin_getStreet"
"role","200","0.106550184278778","1.82261401903368","Admin_getStreets"
"role","200","0.0341256995768413","0.943949142857143","Admin_setStreetInterrupted"
"role","250","0.0213184899087432","1.10351776198934","Admin_addIntersection"
"role","250","0.0495096368662198","1.37120305927342","Admin_addStreet"
"role","250","0.112139800825476","1.37713945635658","Admin_getIntersection"
"role","250","0.068840168124503","1.93907865786579","Admin_getStreet"
"role","250","0.105115680260517","2.53185500720461","Admin_getStreets"
"role","250","0.0344200840622515","1.60175137513751","Admin_setStreetInterrupted"
"role","300","0.0248711340206186","1.68688749074759","Admin_addIntersection"
"role","300","0.0512886597938144","2.19468700646088","Admin_addStreet"
"role","300","0.112187039764359","2.16196668854611","Admin_getIntersection"
"role","300","0.0689248895434462","2.91195673076923","Admin_getStreet"
"role","300","0.103865979381443","3.33014817440624","Admin_getStreets"
"role","300","0.0344624447717231","2.49717521367521","Admin_setStreetInterrupted"
"role","300","0.0344624447717231","2.98486324786325","Admin_setStreetWeight"
"role","350","0.0279955608062149","2.92734718670077","Admin_addIntersection"
"role","350","0.0531092256470841","2.76062251432423","Admin_addStreet"
"role","350","0.112537142448001","2.62792222045491","Admin_getIntersection"
"role","350","0.068377904270934","3.30740523560209","Admin_getStreet"
"role","350","0.103318655353883","3.95206496881497","Admin_getStreets"
"role","350","0.034188952135467","2.94707120418848","Admin_setStreetInterrupted"
"role","350","0.034188952135467","3.57551989528796","Admin_setStreetWeight"
"role","350","0.0974832635234311","0.925792324641939","EndUser_getStreetProperties"
"role","350","0.0487416317617155","0.373431876606684","EndUser_shortestPath"
"role","350","0.0631511115884438","2.15437414965986","EndUser_topCriticalNodes"
